,precision,recall,f1-score,support
Credit-for-Sex Scam,0.2875,0.5897435897435898,0.38655462184873945,39.0
Home/Room Rental Scam,0.23529411764705882,0.4444444444444444,0.30769230769230765,45.0
Impersonation Scam,0.8931034482758621,0.8043478260869565,0.8464052287581699,322.0
Internet Love Scam,0.62,0.43661971830985913,0.512396694214876,142.0
Investment Scam,0.288135593220339,0.32075471698113206,0.30357142857142855,53.0
Online Purchase Scam,0.5533333333333333,0.50920245398773,0.5303514376996804,163.0
accuracy,0.6073298429319371,0.6073298429319371,0.6073298429319371,0.6073298429319371
macro avg,0.4795610820794322,0.5175187915922853,0.481161953130867,764.0
weighted avg,0.6582258709593672,0.6073298429319371,0.6240329429270044,764.0
